SUBID,BLOCK,TRIAL,time,dimensionality_estimate
317,1,3,-794,0.559550561797753
317,1,3,-782,0.551685393258427
317,1,3,-770,0.583520599250936
317,1,3,-758,0.576404494382023
317,1,3,-746,0.553932584269663
317,1,3,-734,0.532584269662922
317,1,3,-722,0.49812734082397
317,1,3,-710,0.443820224719102
317,1,3,-698,0.47565543071161
317,1,3,-686,0.483895131086142
317,1,3,-674,0.473782771535581
317,1,3,-662,0.464044943820225
317,1,3,-650,0.471535580524345
317,1,3,-638,0.401498127340824
317,1,3,-626,0.427715355805243
317,1,3,-614,0.467415730337079
317,1,3,-602,0.485393258426966
317,1,3,-590,0.486142322097378
317,1,3,-578,0.491011235955056
317,1,3,-566,0.499625468164794
317,1,3,-554,0.519475655430712
317,1,3,-542,0.527715355805244
317,1,3,-530,0.525093632958801
317,1,3,-518,0.480524344569289
317,1,3,-506,0.42996254681648
317,1,3,-494,0.399250936329588
317,1,3,-482,0.41123595505618
317,1,3,-470,0.450936329588015
317,1,3,-458,0.499250936329588
317,1,3,-446,0.500374531835206
317,1,3,-434,0.493258426966292
317,1,3,-422,0.516104868913858
317,1,3,-410,0.541198501872659
317,1,3,-398,0.526217228464419
317,1,3,-386,0.527715355805244
317,1,3,-374,0.570786516853932
317,1,3,-362,0.620224719101123
317,1,3,-350,0.626966292134831
317,1,3,-338,0.59250936329588
317,1,3,-326,0.561048689138577
317,1,3,-314,0.576029962546816
317,1,3,-302,0.600749063670412
317,1,3,-290,0.572659176029963
317,1,3,-278,0.555805243445693
317,1,3,-266,0.543445692883895
317,1,3,-254,0.537827715355805
317,1,3,-242,0.506367041198502
317,1,3,-230,0.469662921348315
317,1,3,-218,0.464419475655431
317,1,3,-206,0.447191011235955
317,1,3,-194,0.433333333333333
317,1,3,-182,0.427715355805244
317,1,3,-170,0.453558052434457
317,1,3,-158,0.450561797752809
317,1,3,-146,0.436329588014981
317,1,3,-134,0.459176029962547
317,1,3,-122,0.463295880149812
317,1,3,-110,0.482022471910112
317,1,3,-98,0.492134831460674
317,1,3,-86,0.473408239700375
317,1,3,-74,0.460299625468165
317,1,3,-62,0.417977528089888
